MapID,Locality,Country,Latitude,Longitude,Archives,Min_age,Max_age,Assemblage
GBQ4,"Grotta del Broion, Sala Grande",Italy,45.46,11.59,UNFE,45.0,116.0,"Grotta del Broion, Sala Grande Q4"
GBR,"Grotta del Broion, Sala Grande",Italy,45.46,11.59,UNFE,45.0,116.0,"Grotta del Broion, Sala Grande R1"
Gun,Gunki,Ukraine,49.27,33.6,MNHK & MIGG,374.0,424.0,Gunki II
Hun,Hundsheim,Austria,48.14,16.93,IPUW,478.0,621.0,Hundsheim
Ho8,Horvati-lik,Hungary,48.21,20.44,HIGB,71.0,116.0,Horvati-lik 8
Ho9a,Horvati-lik,Hungary,48.21,20.44,HIGB,71.0,116.0,Horvati-lik 9a
Ho13,Horvati-lik,Hungary,48.21,20.44,HIGB,71.0,116.0,Horvati-lik 13
IKo,Ilovayski Kordon,Russia,53.06,40.32,MIPA,478.0,621.0,Ilovayski Kordon
Kar,Kartstein,Germany,50.54,6.66,SFIF,6.0,12.9,Kartstein
KGr,Kozi Grzbiet,Poland,50.85,20.35,ISEK,478.0,712.0,Kozi Grzbiet 2
Kor,Korotoyak-4,Russia,50.95,39.09,MIPA,478.0,621.0,Korotoyak-4
Kuz,Kuznetsovka,Russia,51.87,42.2,MIPA,478.0,621.0,Kuznetsovka Bed 3
Mdz,Medzhybozh-2,Ukraine,49.43,27.42,MNHK,374.0,424.0,Medzhybozh-2
Mer,Merlin's Cave,England,51.84,-2.65,NHML,2.82,12.37,Merlin's Cave
Mhm,Miesenheim I,Germany,50.4,7.41,LEID,478.0,621.0,Miesenheim I C-H
MJ2,Marie-Jeanne Cave,Belgium,50.21,4.83,RBIN,1.5,11.7,Marie-Jeanne Cave 2
MJ4,Marie-Jeanne Cave,Belgium,50.21,4.83,RBIN,29.0,71.0,Marie-Jeanne Cave 4
MJ6,Marie-Jeanne Cave,Belgium,50.21,4.83,RBIN,29.0,71.0,Marie-Jeanne Cave 6
Msb,Mosbach,Germany,50.07,8.27,SFIF & NHRP,478.0,621.0,Mosbach 2
Nvk,Novonekrasovka,Moldova,45.38,28.7,MIGG,116.0,132.0,Novonekrasovka upper
OEy,Ossom's Eyrie Cave,England,53.09,-1.85,MUM,1.0,1.7,Ossom's Eyrie Cave
Pil,Pilisszanto,Hungary,47.65,19.16,HIGB,16.58,16.9,Pilisszanto
Poe,Poeymau,France,43.1,-0.45,LEMP,11.32,11.88,Poeymau BS
Psd,Pisede,Germany,53.74,12.76,MFNB,2.5,3.2,Pisede IV&V
Psd,Pisede,Germany,53.74,12.76,MFNB,3.2,3.36,Pisede III
Psk,Pesko,Hungary,48.05,20.43,HIGB,20.0,25.0,Pesko brick red strata
RDT,Rotbav-Dealul Tiganilor,Romania,45.83,25.51,ISER,478.0,621.0,Rotbav-Dealul Tiganilor Clay-A
Rg5,Regourdou,France,45.06,1.17,LEMP,57.0,106.0,Regourdou 5
Rg7,Regourdou,France,45.06,1.17,LEMP,57.0,106.0,Regourdou 7
RSb,Rybnaya Sloboda,Russia,55.6,49.4,MIGG,374.0,424.0,Rybnaya Sloboda
Sch,Schoningen,Germany,52.14,10.97,LEID,279.0,424.0,Schoningen 13-II-4
TdF,Trou du Frontal,Belgium,50.22,4.96,RBIN,10.49,11.01,Trou du Frontal 1er niveau ossifere
Ton,Tonchesberg,Germany,50.37,7.38,LEID,116.0,132.0,Tonchesburg II 11-13
Tor,Tornewton Cave,England,50.49,-3.68,NHML,25.11,132.0,Tornewton Cave Red Cave Earth
Vld,Vladimirovka,Russia,51.93,42.58,MIPA,374.0,424.0,Vladimirovka 2
VnE,Vindija,Croatia,46.3,16.34,CRIQ,18.5,27.0,Vindija E-F
VnG,Vindija,Croatia,46.3,16.34,CRIQ,27.0,42.0,Vindija G
WLw,Wigber Low,England,53.06,-1.7,SCM,2.5,4.0,Wigber Low 26
WRF,West Runton,England,52.94,1.24,NHML,563.0,780.0,West Runton Freshwater Bed
W11,Westbury,England,51.25,-2.7,NHML,478.0,621.0,Westbury 11
W14,Westbury,England,51.25,-2.7,NHML,478.0,621.0,Westbury 14
